iter	RMSE
0	279.3802374
1	266.258433
2	253.7133211
3	241.9552396
4	230.7835699
5	220.139173
6	209.8777422
7	199.9981974
8	190.7574509
9	182.0524237
10	173.7461618
11	165.686277
12	158.2124878
13	151.212264
14	144.4847549
15	137.9928557
16	131.897433
17	126.1371831
18	120.6520693
19	115.4572607
20	110.4964148
21	105.8695723
22	101.428115
23	97.285345
24	93.25900546
25	89.35353651
26	85.68543402
27	82.25364259
28	78.98645382
29	75.94259164
30	73.07311367
31	70.31494036
32	67.77677397
33	65.33755474
34	63.05650856
35	60.93241747
36	58.90231183
37	56.97372625
38	55.16549719
39	53.45878472
40	51.83729499
41	50.35413972
42	48.91008655
43	47.59151744
44	46.31735425
45	45.19128894
46	44.08322971
47	43.04532026
48	42.08475933
49	41.16455513
50	40.35441505
51	39.57587526
52	38.8687112
53	38.18861178
54	37.57139859
55	36.97706213
56	36.44329405
57	35.96128325
58	35.5021262
59	35.0790454
60	34.68112569
61	34.3128173
62	33.9731971
63	33.65968965
64	33.34262195
65	33.04145279
66	32.78742536
67	32.53037172
68	32.31279326
69	32.09569805
70	31.87370849
71	31.67523842
72	31.51939697
73	31.33801881
74	31.1681072
75	31.02929723
76	30.89451422
77	30.75811306
78	30.63292156
79	30.5070138
80	30.37959618
81	30.26248842
82	30.14985787
83	30.06997193
84	29.97522162
85	29.87273692
86	29.78611641
87	29.712618
88	29.62959977
89	29.54568847
90	29.46706304
91	29.38054005
92	29.31578318
93	29.25663096
94	29.19175844
95	29.13497618
96	29.07178281
97	29.00261819
98	28.94776382
99	28.89773086
100	28.84414444
101	28.79767801
102	28.74255605
103	28.69728873
104	28.65668207
105	28.60686465
106	28.55348058
107	28.51568711
108	28.46812342
109	28.43044674
110	28.37671675
111	28.33502674
112	28.28164489
113	28.22186717
114	28.18986628
115	28.1691293
116	28.13872846
117	28.10560359
118	28.06996218
119	28.05722939
120	28.00750303
121	27.95648969
122	27.92108477
123	27.87526357
124	27.85135926
125	27.81375284
126	27.79406358
127	27.76352264
128	27.7362382
129	27.71250245
130	27.67998156
131	27.64702415
132	27.61931317
133	27.59172779
134	27.54851259
135	27.52030853
136	27.49309664
137	27.45713252
138	27.43944577
139	27.41191348
140	27.3868438
141	27.35987598
142	27.32506076
143	27.31195221
144	27.28360579
145	27.26604549
146	27.23980911
147	27.21941044
148	27.19184213
149	27.16375955
150	27.14221991
151	27.12513374
152	27.09969091
153	27.07143986
154	27.03605146
155	26.99063368
156	26.97899396
157	26.96159475
158	26.93884342
159	26.92198832
160	26.90921155
161	26.89212711
162	26.8614688
163	26.83483332
164	26.81130123
165	26.79930777
166	26.77862999
167	26.75691757
168	26.73488195
169	26.71775962
170	26.67999989
171	26.65409141
172	26.63242982
173	26.61198432
174	26.59494426
175	26.57905303
176	26.55901189
177	26.5109725
178	26.49452517
179	26.47656948
180	26.46137061
181	26.44308397
182	26.4249256
183	26.39932663
184	26.38553728
185	26.36637686
186	26.34595099
187	26.32951848
188	26.31527801
189	26.27594192
190	26.2554107
191	26.24790098
192	26.22597717
193	26.21089758
194	26.18573489
195	26.17158396
196	26.16263394
197	26.14740217
198	26.13071145
199	26.10671976
200	26.08936048
201	26.06330105
202	26.03358765
203	26.00318984
204	25.9852145
205	25.95334637
206	25.92612683
207	25.8979409
208	25.88558281
209	25.86505556
210	25.84200738
211	25.80269321
212	25.78917681
213	25.77372481
214	25.7523265
215	25.73532331
216	25.71733309
217	25.69540542
218	25.67965981
219	25.65700856
220	25.64342234
221	25.62394438
222	25.60588293
223	25.58317502
224	25.57278847
225	25.55638424
226	25.5365354
227	25.51640713
228	25.49468907
229	25.4745475
230	25.45287864
231	25.43515922
232	25.4246282
233	25.41455987
234	25.38745802
235	25.36879702
236	25.34342756
237	25.3150878
238	25.30018277
239	25.29020372
240	25.27546109
241	25.25196645
242	25.22259008
243	25.20848533
244	25.19025922
245	25.16440585
246	25.14213152
247	25.1188456
248	25.10515365
249	25.09023235
250	25.07100826
251	25.04470347
252	25.02723185
253	25.00722903
254	24.98968724
255	24.97164517
256	24.94157793
257	24.90955395
258	24.88730554
259	24.87488032
260	24.85735708
261	24.84253102
262	24.82933633
263	24.8087658
264	24.7820436
265	24.76559325
266	24.74827726
267	24.72301951
268	24.7049925
269	24.69348694
270	24.67738042
271	24.66541201
272	24.65181059
273	24.6306626
274	24.60941797
275	24.59505994
276	24.57456031
277	24.56180124
278	24.54337666
279	24.52607227
280	24.51156057
281	24.49953859
282	24.48391196
283	24.46931873
284	24.4534903
285	24.44149635
286	24.42743218
287	24.40799169
288	24.3939736
289	24.37966884
290	24.3653095
291	24.34618533
292	24.32965256
293	24.30411379
294	24.28352104
295	24.26591733
296	24.2446812
297	24.22303355
298	24.20888696
299	24.19748703
300	24.1792691
301	24.16784066
302	24.14560027
