iter	Passed	Remaining
0	156	62563
1	159	31827
2	162	21533
3	165	16375
4	168	13298
5	171	11293
6	174	9812
7	177	8696
8	180	7828
9	183	7137
10	185	6576
11	188	6106
12	191	5706
13	194	5370
14	197	5073
15	200	4812
16	203	4589
17	207	4394
18	209	4209
19	212	4043
20	215	3890
21	218	3757
22	221	3635
23	224	3520
24	227	3412
25	230	3312
26	233	3220
27	236	3140
28	239	3064
29	242	2990
30	245	2921
31	248	2857
32	252	2804
33	255	2753
34	258	2698
35	261	2647
36	264	2597
37	268	2554
38	271	2510
39	274	2468
40	277	2428
41	280	2389
42	283	2355
43	286	2320
44	289	2286
45	292	2252
46	295	2218
47	298	2186
48	301	2158
49	304	2131
50	307	2102
51	310	2074
52	312	2048
53	315	2024
54	318	1999
55	321	1975
56	324	1954
57	327	1931
58	330	1909
59	333	1889
60	336	1868
61	339	1848
62	341	1828
63	344	1809
64	347	1791
65	351	1776
66	354	1760
67	356	1742
68	359	1725
69	362	1709
70	365	1693
71	368	1677
72	370	1661
73	373	1646
74	376	1631
75	379	1617
76	382	1603
77	385	1590
78	387	1575
79	390	1562
80	393	1548
81	396	1535
82	399	1525
83	402	1514
84	405	1502
85	408	1490
86	411	1479
87	414	1468
88	417	1457
89	419	1446
90	422	1435
91	425	1424
92	428	1413
93	431	1404
94	434	1394
95	437	1384
96	439	1373
97	442	1363
98	445	1354
99	448	1346
100	452	1338
101	455	1329
102	457	1320
103	460	1311
104	463	1303
105	466	1294
106	469	1286
107	472	1277
108	475	1268
109	477	1260
110	480	1251
111	483	1243
112	486	1234
113	488	1226
114	491	1218
115	494	1211
116	497	1203
117	500	1196
118	503	1188
119	505	1180
120	508	1172
121	511	1165
122	514	1158
123	517	1150
124	519	1143
125	522	1136
126	525	1128
127	527	1121
128	530	1114
129	533	1107
130	536	1100
131	538	1094
132	541	1087
133	544	1081
134	547	1074
135	550	1067
136	552	1061
137	555	1054
138	558	1049
139	561	1043
140	565	1038
141	567	1031
142	570	1025
143	573	1019
144	576	1014
145	579	1008
146	582	1002
147	585	996
148	588	990
149	590	984
150	594	979
151	597	974
152	600	968
153	602	963
154	605	957
155	608	952
156	611	946
157	614	941
158	617	936
159	620	930
160	623	925
161	625	919
162	628	914
163	631	908
164	634	903
165	636	897
166	639	892
167	642	886
168	644	881
169	647	876
170	650	871
171	653	865
172	655	860
173	658	855
174	661	850
175	664	846
176	667	841
177	670	835
178	673	831
179	676	826
180	679	822
181	682	817
182	684	812
183	687	807
184	690	802
185	693	797
186	696	793
187	699	788
188	701	783
189	704	778
190	707	774
191	710	769
192	713	765
193	716	760
194	719	755
195	721	751
196	724	746
197	727	741
198	730	737
199	732	732
200	735	728
201	738	723
202	741	719
203	743	714
204	746	710
205	749	706
206	752	701
207	755	697
208	758	693
209	761	688
210	764	684
211	767	680
212	769	675
213	772	671
214	775	667
215	778	662
216	780	658
217	783	654
218	786	649
219	789	645
220	792	641
221	795	637
222	798	633
223	801	629
224	803	625
225	806	621
226	809	616
227	812	612
228	814	608
229	817	604
230	820	600
231	823	596
232	825	591
233	828	587
234	831	583
235	833	579
236	837	575
237	839	571
238	842	567
239	845	563
240	848	559
241	851	555
242	854	551
243	856	547
244	859	543
245	862	539
246	864	535
247	867	531
248	870	528
249	873	524
250	876	520
251	879	516
252	882	512
253	885	508
254	888	505
255	891	501
256	893	497
257	896	493
258	899	489
259	902	485
260	905	482
261	907	478
262	910	474
263	913	470
264	916	466
265	918	462
266	922	459
267	925	455
268	928	452
269	931	448
270	933	444
271	936	440
272	939	437
273	942	433
274	945	429
275	947	425
276	950	422
277	953	418
278	956	414
279	959	411
280	961	407
281	964	403
282	968	400
283	970	396
284	974	393
285	976	389
286	979	385
287	982	381
288	985	378
289	988	374
290	991	371
291	994	367
292	996	364
293	999	360
294	1002	356
295	1005	353
296	1008	349
297	1011	346
298	1014	342
299	1016	338
300	1019	335
301	1022	331
302	1024	328
303	1027	324
304	1030	320
305	1033	317
306	1035	313
307	1038	310
308	1041	306
309	1044	303
310	1046	299
311	1049	296
312	1052	292
313	1055	289
314	1058	285
315	1061	282
316	1064	278
317	1067	275
318	1069	271
319	1072	268
320	1075	264
321	1078	261
322	1081	257
323	1084	254
324	1087	251
325	1090	247
326	1093	244
327	1097	240
328	1100	237
329	1103	234
330	1106	230
331	1109	227
332	1112	223
333	1116	220
334	1119	217
335	1122	213
336	1125	210
337	1128	206
338	1131	203
339	1134	200
340	1137	196
341	1140	193
342	1143	190
343	1147	186
344	1150	183
345	1154	180
346	1157	176
347	1160	173
348	1162	169
349	1165	166
350	1168	163
351	1171	159
352	1174	156
353	1177	152
354	1180	149
355	1183	146
356	1186	142
357	1189	139
358	1191	136
359	1195	132
360	1198	129
361	1201	126
362	1204	122
363	1207	119
364	1210	116
365	1213	112
366	1218	109
367	1221	106
368	1224	102
369	1227	99
370	1230	96
371	1233	92
372	1236	89
373	1239	86
374	1243	82
375	1246	79
376	1249	76
377	1252	72
378	1255	69
379	1258	66
380	1262	62
381	1265	59
382	1268	56
383	1271	52
384	1274	49
385	1277	46
386	1280	43
387	1283	39
388	1286	36
389	1289	33
390	1292	29
391	1295	26
392	1298	23
393	1301	19
394	1304	16
395	1307	13
396	1311	9
397	1314	6
398	1316	3
399	1319	0
