doy,mean,p10,p50,p90,mean_pv,p10_pv,p50_pv,p90_pv
1,3.995,3.704,4.127,4.295,0.575,0.533,0.594,0.618
2,4.025,3.768,4.13,4.332,0.58,0.543,0.595,0.624
3,4.055,3.8,4.143,4.345,0.584,0.547,0.597,0.626
4,4.107,3.8,4.159,4.381,0.591,0.547,0.599,0.631
5,4.134,3.8,4.176,4.415,0.595,0.547,0.601,0.636
6,4.154,3.8,4.217,4.434,0.598,0.547,0.607,0.638
7,4.17,3.801,4.238,4.44,0.6,0.547,0.61,0.639
8,4.19,3.882,4.25,4.448,0.603,0.559,0.612,0.641
9,4.202,3.823,4.271,4.452,0.605,0.551,0.615,0.641
10,4.227,3.954,4.298,4.459,0.609,0.569,0.619,0.642
11,4.25,4.013,4.319,4.463,0.612,0.578,0.622,0.643
12,4.286,4.062,4.333,4.488,0.617,0.585,0.624,0.646
13,4.308,4.088,4.35,4.526,0.62,0.589,0.626,0.652
14,4.338,4.103,4.375,4.535,0.625,0.591,0.63,0.653
15,4.336,4.103,4.377,4.554,0.624,0.591,0.63,0.656
16,4.367,4.103,4.411,4.587,0.629,0.591,0.635,0.661
17,4.395,4.113,4.423,4.699,0.633,0.592,0.637,0.677
18,4.42,4.126,4.44,4.776,0.636,0.594,0.639,0.688
19,4.444,4.126,4.449,4.837,0.64,0.594,0.641,0.697
20,4.469,4.126,4.514,4.845,0.644,0.594,0.65,0.698
21,4.488,4.126,4.531,4.849,0.646,0.594,0.652,0.698
22,4.5,4.128,4.535,4.849,0.648,0.594,0.653,0.698
23,4.515,4.128,4.549,4.859,0.65,0.594,0.655,0.7
24,4.546,4.154,4.571,4.863,0.655,0.598,0.658,0.7
25,4.578,4.211,4.627,4.88,0.659,0.606,0.666,0.703
26,4.593,4.211,4.696,4.891,0.661,0.606,0.676,0.704
27,4.619,4.154,4.759,4.952,0.665,0.598,0.685,0.713
28,4.654,4.19,4.783,4.993,0.67,0.603,0.689,0.719
29,4.688,4.251,4.797,5.017,0.675,0.612,0.691,0.722
30,4.725,4.251,4.808,5.031,0.68,0.612,0.692,0.724
31,4.731,4.251,4.83,5.049,0.681,0.612,0.696,0.727
32,4.733,4.238,4.834,5.07,0.682,0.61,0.696,0.73
33,4.759,4.238,4.846,5.124,0.685,0.61,0.698,0.738
34,4.783,4.27,4.864,5.171,0.689,0.615,0.7,0.745
35,4.81,4.27,4.893,5.193,0.693,0.615,0.705,0.748
36,4.849,4.27,4.962,5.221,0.698,0.615,0.715,0.752
37,4.883,4.273,4.998,5.262,0.703,0.615,0.72,0.758
38,4.934,4.37,5.032,5.309,0.71,0.629,0.725,0.764
39,4.961,4.425,5.05,5.333,0.714,0.637,0.727,0.768
40,4.991,4.425,5.092,5.366,0.719,0.637,0.733,0.773
41,5.031,4.474,5.118,5.392,0.724,0.644,0.737,0.776
42,5.065,4.528,5.145,5.403,0.729,0.652,0.741,0.778
43,5.101,4.607,5.187,5.448,0.735,0.663,0.747,0.785
44,5.14,4.607,5.21,5.514,0.74,0.663,0.75,0.794
45,5.157,4.71,5.247,5.545,0.743,0.678,0.756,0.798
46,5.209,4.77,5.284,5.577,0.75,0.687,0.761,0.803
47,5.266,4.953,5.337,5.591,0.758,0.713,0.769,0.805
48,5.293,4.973,5.361,5.623,0.762,0.716,0.772,0.81
49,5.303,4.973,5.37,5.635,0.764,0.716,0.773,0.811
50,5.324,4.973,5.405,5.65,0.767,0.716,0.778,0.814
51,5.326,4.953,5.436,5.71,0.767,0.713,0.783,0.822
52,5.366,4.973,5.454,5.739,0.773,0.716,0.785,0.826
53,5.393,4.973,5.498,5.758,0.777,0.716,0.792,0.829
54,5.399,4.989,5.54,5.758,0.777,0.718,0.798,0.829
55,5.439,5.009,5.568,5.774,0.783,0.721,0.802,0.831
56,5.494,5.073,5.598,5.81,0.791,0.731,0.806,0.837
57,5.538,5.169,5.627,5.94,0.797,0.744,0.81,0.855
58,5.569,5.193,5.691,6.003,0.802,0.748,0.82,0.864
59,5.59,5.193,5.71,6.05,0.805,0.748,0.822,0.871
60,5.647,5.345,5.726,6.062,0.813,0.77,0.825,0.873
61,5.676,5.354,5.754,6.104,0.817,0.771,0.829,0.879
62,5.707,5.354,5.759,6.135,0.822,0.771,0.829,0.883
63,5.686,5.234,5.779,6.167,0.819,0.754,0.832,0.888
64,5.736,5.358,5.823,6.199,0.826,0.772,0.839,0.893
65,5.783,5.385,5.913,6.216,0.833,0.775,0.851,0.895
66,5.829,5.385,5.97,6.275,0.839,0.775,0.86,0.904
67,5.867,5.385,6.025,6.302,0.845,0.775,0.868,0.907
68,5.912,5.469,6.055,6.347,0.851,0.788,0.872,0.914
69,5.985,5.607,6.089,6.431,0.862,0.807,0.877,0.926
70,6.001,5.469,6.093,6.462,0.864,0.788,0.877,0.931
71,5.983,5.358,6.099,6.463,0.862,0.772,0.878,0.931
72,6.003,5.469,6.104,6.468,0.864,0.788,0.879,0.931
73,6.021,5.479,6.148,6.493,0.867,0.789,0.885,0.935
74,6.023,5.341,6.168,6.497,0.867,0.769,0.888,0.936
75,6.045,5.279,6.209,6.512,0.87,0.76,0.894,0.938
76,6.038,5.203,6.247,6.518,0.869,0.749,0.9,0.939
77,6.062,5.203,6.311,6.59,0.873,0.749,0.909,0.949
78,6.146,5.341,6.321,6.607,0.885,0.769,0.91,0.951
79,6.199,5.422,6.326,6.632,0.893,0.781,0.911,0.955
80,6.215,5.422,6.388,6.691,0.895,0.781,0.92,0.964
81,6.248,5.597,6.428,6.751,0.9,0.806,0.926,0.972
82,6.282,5.815,6.439,6.804,0.905,0.837,0.927,0.98
83,6.288,5.597,6.439,6.849,0.905,0.806,0.927,0.986
84,6.309,5.597,6.45,6.916,0.908,0.806,0.929,0.996
85,6.309,5.597,6.46,6.947,0.908,0.806,0.93,1.0
86,6.367,5.815,6.484,6.964,0.917,0.837,0.934,1.003
87,6.4,5.829,6.577,7.0,0.922,0.839,0.947,1.008
88,6.406,5.805,6.594,7.004,0.922,0.836,0.95,1.009
89,6.46,5.91,6.626,7.021,0.93,0.851,0.954,1.011
90,6.508,5.918,6.653,7.021,0.937,0.852,0.958,1.011
91,6.572,5.927,6.739,7.032,0.946,0.853,0.97,1.013
92,6.601,5.927,6.813,7.049,0.951,0.853,0.981,1.015
93,6.621,5.948,6.814,7.06,0.953,0.857,0.981,1.017
94,6.618,5.927,6.814,7.06,0.953,0.853,0.981,1.017
95,6.653,5.982,6.875,7.063,0.958,0.861,0.99,1.017
96,6.685,5.982,6.915,7.063,0.963,0.861,0.996,1.017
97,6.684,5.96,6.921,7.068,0.962,0.858,0.997,1.018
98,6.668,5.96,6.925,7.074,0.96,0.858,0.997,1.019
99,6.66,5.927,6.944,7.077,0.959,0.853,1.0,1.019
100,6.693,5.927,6.95,7.081,0.964,0.853,1.001,1.02
101,6.694,5.927,6.945,7.085,0.964,0.853,1.0,1.02
102,6.658,5.717,6.945,7.088,0.959,0.823,1.0,1.021
103,6.713,5.998,6.95,7.102,0.967,0.864,1.001,1.023
104,6.734,6.149,6.956,7.141,0.97,0.885,1.002,1.028
105,6.748,6.149,6.987,7.16,0.972,0.885,1.006,1.031
106,6.76,6.149,6.994,7.167,0.973,0.885,1.007,1.032
107,6.759,6.01,7.0,7.185,0.973,0.865,1.008,1.035
108,6.763,5.786,7.006,7.192,0.974,0.833,1.009,1.036
109,6.782,5.864,7.029,7.196,0.977,0.844,1.012,1.036
110,6.782,5.864,7.033,7.21,0.977,0.844,1.013,1.038
111,6.776,5.864,7.036,7.225,0.976,0.844,1.013,1.04
112,6.796,5.948,7.048,7.248,0.979,0.857,1.015,1.044
113,6.854,6.017,7.084,7.26,0.987,0.866,1.02,1.045
114,6.889,6.149,7.107,7.264,0.992,0.885,1.023,1.046
115,6.932,6.262,7.112,7.303,0.998,0.902,1.024,1.052
116,6.965,6.444,7.121,7.304,1.003,0.928,1.025,1.052
117,6.989,6.527,7.122,7.328,1.006,0.94,1.026,1.055
118,6.985,6.527,7.121,7.304,1.006,0.94,1.025,1.052
119,6.994,6.587,7.122,7.3,1.007,0.949,1.026,1.051
120,6.991,6.587,7.133,7.288,1.007,0.949,1.027,1.049
121,6.995,6.587,7.154,7.288,1.007,0.949,1.03,1.049
122,7.013,6.61,7.133,7.3,1.01,0.952,1.027,1.051
123,7.04,6.644,7.133,7.315,1.014,0.957,1.027,1.053
124,7.053,6.706,7.116,7.346,1.016,0.966,1.025,1.058
125,7.037,6.791,7.116,7.348,1.013,0.978,1.025,1.058
126,7.052,6.791,7.123,7.367,1.015,0.978,1.026,1.061
127,7.063,6.824,7.124,7.381,1.017,0.983,1.026,1.063
128,7.061,6.824,7.124,7.381,1.017,0.983,1.026,1.063
129,7.057,6.824,7.124,7.381,1.016,0.983,1.026,1.063
130,7.04,6.802,7.124,7.359,1.014,0.979,1.026,1.06
131,7.038,6.774,7.143,7.364,1.013,0.975,1.029,1.06
