site,latitude,longitude,season,mean_ghi_day,daily_cv,mean_temp_c,suitability
Clifton,24.81,67.03,Winter,395.7,0.107,20.7,0.25
DHA,24.79,67.07,Winter,398.3,0.107,20.7,0.479
Korangi,24.83,67.135,Winter,398.3,0.107,20.6,0.494
Malir,24.893,67.205,Winter,398.3,0.107,20.4,0.524
Gulshan-e-Iqbal,24.92,67.1,Winter,397.4,0.109,20.5,0.305
North Nazimabad,24.95,67.04,Winter,397.4,0.109,20.5,0.305
SITE,24.91,66.99,Winter,399.7,0.108,20.4,0.585
Gadap,25.05,67.11,Winter,402.5,0.111,19.7,0.75
Clifton,24.81,67.03,Spring,499.3,0.106,27.6,0.15
DHA,24.79,67.07,Spring,502.2,0.104,27.9,0.415
Korangi,24.83,67.135,Spring,502.2,0.104,27.8,0.44
Malir,24.893,67.205,Spring,501.7,0.103,27.8,0.465
Gulshan-e-Iqbal,24.92,67.1,Spring,501.6,0.105,28.2,0.233
North Nazimabad,24.95,67.04,Spring,501.6,0.105,28.2,0.233
SITE,24.91,66.99,Spring,503.4,0.105,27.9,0.441
Gadap,25.05,67.11,Spring,507.4,0.102,27.8,0.95
Clifton,24.81,67.03,Summer,369.9,0.201,29.4,0.546
DHA,24.79,67.07,Summer,366.9,0.21,29.5,0.244
Korangi,24.83,67.135,Summer,366.9,0.21,29.4,0.294
Malir,24.893,67.205,Summer,365.9,0.213,29.4,0.21
Gulshan-e-Iqbal,24.92,67.1,Summer,365.9,0.213,29.7,0.06
North Nazimabad,24.95,67.04,Summer,365.9,0.213,29.7,0.06
SITE,24.91,66.99,Summer,375.5,0.197,29.7,0.715
Gadap,25.05,67.11,Summer,378.3,0.218,29.6,0.65
Clifton,24.81,67.03,Autumn,407.2,0.127,27.3,0.173
DHA,24.79,67.07,Autumn,408.4,0.134,27.4,0.1
Korangi,24.83,67.135,Autumn,408.4,0.134,27.4,0.1
Malir,24.893,67.205,Autumn,408.0,0.135,27.3,0.085
Gulshan-e-Iqbal,24.92,67.1,Autumn,407.9,0.132,27.4,0.101
North Nazimabad,24.95,67.04,Autumn,407.9,0.132,27.4,0.101
SITE,24.91,66.99,Autumn,412.4,0.121,27.3,0.635
Gadap,25.05,67.11,Autumn,416.0,0.121,26.9,1.0
